CentroNv2,Mes Ano,Regiao_IM,Municipio,UF,Transações
L5001-RIBEIRAO PRETO (0217),2025-01-01,Interior,RIBEIRÃO PRETO,SP,9738
L5002-ALPHAVILLE (0290),2025-01-01,RMSP,BARUERI,SP,7890
L5003-LINS (0340),2025-01-01,Interior,LINS,SP,7111
L5004-CAMPO BELO (0448),2025-01-01,Capital,SÃO PAULO,SP,6446
L5005-BROOKLIN (0475),2025-01-01,Capital,SÃO PAULO,SP,5827
L5006-MARAJOARA (0487),2025-01-01,Capital,SÃO PAULO,SP,7950
L5007-KLABIN (0496),2025-01-01,Capital,SÃO PAULO,SP,3917
L5008-SCS MAUA (0500),2025-01-01,RMSP,SÃO CAETANO DO SUL,SP,5724
L5009-PIRITUBA (0508),2025-01-01,Capital,SÃO PAULO,SP,8111
L5012-SOROCABA (0527),2025-01-01,Interior,SOROCABA,SP,2664
L5013-GRANJA VIANA (0545),2025-01-01,RMSP,COTIA,SP,5965
L5014-ROUXINOL (0567),2025-01-01,Capital,SÃO PAULO,SP,6712
L5015-BARAO ITAPURA (0570),2025-01-01,Interior,CAMPINAS,SP,4416
L5016-ANDRADINA (0573),2025-01-01,Interior,ANDRADINA,SP,4060
L5017-LEOPOLDINA (0576),2025-01-01,Capital,SÃO PAULO,SP,4933
L5018-MOEMA JURUCE (0584),2025-01-01,Capital,SÃO PAULO,SP,8180
L5019-ANGELICA (0684),2025-01-01,Capital,SÃO PAULO,SP,9245
L5020-VILA MARIANA 2 (0779),2025-01-01,Capital,SÃO PAULO,SP,7986
L5021-VILA SAUDE (0782),2025-01-01,Capital,SÃO PAULO,SP,9016
L5022-SAO CAETANO CENTRO (0811),2025-01-01,RMSP,SÃO CAETANO DO SUL,SP,9662
L5023-JOSE BONIFACIO (0813),2025-01-01,Interior,CAMPINAS,SP,4238
L5024-VALINHOS (0814),2025-01-01,Interior,VALINHOS,SP,7784
L5025-PANAMBY (0817),2025-01-01,Capital,SÃO PAULO,SP,7333
L5026-VILA MARIA (0818),2025-01-01,Capital,SÃO PAULO,SP,5532
L5027-ACLIMACAO (0851),2025-01-01,Capital,SÃO PAULO,SP,8501
L5028-VILA PAULICEIA (0853),2025-01-01,Capital,SÃO PAULO,SP,5283
L5030-SAUDADE (0856),2025-01-01,Interior,CAMPINAS,SP,7364
L5031-PERDIZES (0860),2025-01-01,Capital,SÃO PAULO,SP,7564
L5033-SANTANA (0868),2025-01-01,Capital,SÃO PAULO,SP,3946
L5034-D. PEDRO ll (0873),2025-01-01,RMSP,SANTO ANDRÉ,SP,6664
L5035-TREMEMBE (0875),2025-01-01,Capital,SÃO PAULO,SP,6117
L5037-VILA ROMANA (0880),2025-01-01,Capital,SÃO PAULO,SP,5391
L5038-SAO JOSE DOS CAMPOS (0886),2025-01-01,Interior,SÃO JOSÉ DOS CAMPOS,SP,7519
L5039-ZELINA (1208),2025-01-01,Capital,SÃO PAULO,SP,7450
L5040-GUARULHOS (1211),2025-01-01,RMSP,GUARULHOS,SP,7531
L5041-TAUBATE (1224),2025-01-01,Interior,TAUBATÉ,SP,4629
L5042-IPIRANGA (1237),2025-01-01,Capital,SÃO PAULO,SP,9678
L5043-PORTUGAL (1239),2025-01-01,RMSP,SANTO ANDRÉ,SP,7606
L5044-INDAIATUBA (1243),2025-01-01,Interior,INDAIATUBA,SP,7660
L5045-TATUAPE (1247),2025-01-01,Capital,SÃO PAULO,SP,7117
L5046-VILA CARRAO (1248),2025-01-01,Capital,SÃO PAULO,SP,8180
L5047-SAO BERNARDO (1255),2025-01-01,RMSP,SÃO BERNARDO DO CAMPO,SP,9429
L5048-SJC ANDROMEDA (1261),2025-01-01,Interior,SÃO JOSÉ DOS CAMPOS,SP,6224
L5049-RIB.PRETO INDEPENDENCIA (1266),2025-01-01,Interior,RIBEIRÃO PRETO,SP,3245
L5050-SOROCABA W.LUIZ (1273),2025-01-01,Interior,SOROCABA,SP,6298
L5051-VILA PRUDENTE (1276),2025-01-01,Capital,SÃO PAULO,SP,6528
L5052-PINHEIROS (1277),2025-01-01,Capital,SÃO PAULO,SP,4327
L5053-MORUMBI (1278),2025-01-01,Capital,SÃO PAULO,SP,6484
L5054-PLANALTO (1279),2025-01-01,Capital,SÃO PAULO,SP,6323
L5055-CAMBUCI (1284),2025-01-01,Capital,SÃO PAULO,SP,9534
L5056-PENHA (1285),2025-01-01,Capital,SÃO PAULO,SP,9534
L5057-BOQUEIRAO (1289),2025-01-01,Litoral,SANTOS,SP,8890
L5058-JD. BONFIGLIOLI (1291),2025-01-01,Capital,SÃO PAULO,SP,8467
L5059-TUTOIA (1294),2025-01-01,Capital,SÃO PAULO,SP,6002
L5060-RIVIERA (1300),2025-01-01,Litoral,BERTIOGA,SP,10279
L5061-BOSQUE MAIA (1304),2025-01-01,RMSP,GUARULHOS,SP,6404
L5062-ASSUNCAO (1310),2025-01-01,RMSP,SÃO BERNARDO DO CAMPO,SP,11578
L5063-SAO CAMILO (1311),2025-01-01,RMSP,COTIA,SP,4896
L5064-CHACARA INGLESA (1312),2025-01-01,Capital,SÃO PAULO,SP,7339
L5065-LINS DE VASCONCELOS (1313),2025-01-01,Capital,SÃO PAULO,SP,6824
L5066-CARAPICUIBA (1317),2025-01-01,RMSP,CARAPICUÍBA,SP,5865
L5067-CHACARA ST. ANTONIO (1318),2025-01-01,Capital,SÃO PAULO,SP,6291
L5068-BOSQUE DA SAUDE (1321),2025-01-01,Capital,SÃO PAULO,SP,8474
L5069-AGUA RASA (1322),2025-01-01,Capital,SÃO PAULO,SP,7269
L5070-BORGES LAGOA (1323),2025-01-01,Capital,SÃO PAULO,SP,5003
L5071-BELA VISTA (1326),2025-01-01,Capital,SÃO PAULO,SP,9986
L5072-SERRA DE JAPI (1330),2025-01-01,Capital,SÃO PAULO,SP,6764
L5073-VILA GUILHERME (1331),2025-01-01,Capital,SÃO PAULO,SP,7233
L5074-VOLUNTARIOS DA PATRIA (1335),2025-01-01,Capital,SÃO PAULO,SP,4710
L5076-PIRACICABA (1337),2025-01-01,Interior,PIRACICABA,SP,5297
L5077-OSCAR FREIRE (1341),2025-01-01,Capital,SÃO PAULO,SP,6236
L5078-CAMPO BELO 2 (1342),2025-01-01,Capital,SÃO PAULO,SP,4239
L5081-VILA OLIMPIA (1345),2025-01-01,Capital,SÃO PAULO,SP,4125
L5082-VILA ANDRADE (1346),2025-01-01,Capital,SÃO PAULO,SP,7382
L5083-BARCELONA (1347),2025-01-01,RMSP,SÃO CAETANO DO SUL,SP,5271
L5084-GUAIPA (1349),2025-01-01,Capital,SÃO PAULO,SP,5601
L5086-PORTAL DO MORUMBI (1352),2025-01-01,Capital,SÃO PAULO,SP,10806
L5087-ALBERTO ANDALO (1353),2025-01-01,Interior,SÃO JOSÉ DO RIO PRETO,SP,4095
L5088-PONTA DA PRAIA (1363),2025-01-01,Litoral,SANTOS,SP,11002
L5089-BOA VISTA (1364),2025-01-01,RMSP,SÃO CAETANO DO SUL,SP,7045
L5090-NORTE SUL (1365),2025-01-01,Interior,CAMPINAS,SP,3966
L5091-NOVA CANTAREIRA (1366),2025-01-01,Capital,SÃO PAULO,SP,6486
L5092-VILA AUGUSTA (1374),2025-01-01,RMSP,GUARULHOS,SP,6616
L5093-PERDIZES 2 (1376),2025-01-01,Capital,SÃO PAULO,SP,5521
L5095-VILLA LOBOS (1380),2025-01-01,Capital,SÃO PAULO,SP,3493
L5097-JUNDIAI (1404),2025-01-01,Interior,JUNDIAÍ,SP,5896
L5098-AUTONOMISTAS (1405),2025-01-01,RMSP,OSASCO,SP,8557
L5099-VILA MATILDE (1421),2025-01-01,Capital,SÃO PAULO,SP,9477
L5100-INTERLAGOS (1431),2025-01-01,Capital,SÃO PAULO,SP,6592
L5101-CIDADE SAO FRANCISCO (1432),2025-01-01,Capital,SÃO PAULO,SP,6769
